SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,SepalArea,PetalArea,TotalFlowerArea,SepalPetalRatio,PetalAspectRatio,FlowerVolumeIndex,Temperature,Humidity,SunlightHours,SoilPH,SoilMoisture,Rainfall,HealthScore,DiseaseRisk,Species
6.5,2.2,5.1,1.6,14.3,8.16,22.46,1.275,3.187,7.29,25.0,67,4.3,6.37,83,37.5,88.0,2,1
7.8,2.8,6.4,1.4,21.84,8.96,30.8,1.219,4.571,13.98,21.8,73,6.9,6.21,54,119.3,90.8,1,2
6.0,3.4,5.2,1.7,20.4,8.84,29.24,1.154,3.059,10.61,19.0,62,4.9,6.92,70,55.5,85.9,2,2
5.1,2.0,3.6,1.3,10.2,4.68,14.88,1.417,2.769,3.67,21.8,53,4.5,6.36,65,147.6,77.9,2,1
4.4,3.5,1.5,0.5,15.4,0.75,16.15,2.933,3.0,2.31,30.1,45,5.8,6.28,35,186.7,72.5,0,0
5.2,2.7,1.3,0.2,14.04,0.26,14.3,4.0,6.5,1.83,22.2,76,4.9,5.83,47,116.9,70.3,0,0
4.8,4.3,1.6,0.3,20.64,0.48,21.12,3.0,5.333,3.3,26.6,74,4.6,6.11,55,96.4,72.9,0,0
5.8,2.6,4.7,1.5,15.08,7.05,22.13,1.234,3.133,7.09,26.3,64,5.9,7.39,42,130.2,78.9,2,1
6.9,2.4,4.5,1.4,16.56,6.3,22.86,1.533,3.214,7.45,26.1,60,6.0,6.06,80,110.4,76.4,2,1
5.5,3.8,4.9,2.2,20.9,10.78,31.68,1.122,2.227,10.24,18.4,74,9.7,5.92,81,87.0,94.6,1,2
6.3,2.2,3.6,1.2,13.86,4.32,18.18,1.75,3.0,4.99,20.2,72,8.7,5.65,68,130.2,77.1,2,1
7.7,3.6,5.5,1.4,27.72,7.7,35.42,1.4,3.929,15.25,31.6,89,9.4,6.57,70,230.3,79.1,2,2
5.3,3.0,1.6,0.1,15.9,0.16,16.06,3.312,16.0,2.54,31.8,88,7.9,7.43,51,242.1,69.2,0,0
4.4,2.8,1.7,0.4,12.32,0.68,13.0,2.588,4.25,2.09,27.6,59,6.7,6.28,79,176.3,74.4,0,0
4.8,2.4,1.1,0.3,11.52,0.33,11.85,4.364,3.667,1.27,31.5,52,9.0,6.96,52,91.7,69.9,0,0
5.1,3.0,1.1,0.5,15.3,0.55,15.85,4.636,2.2,1.68,24.3,49,5.8,7.12,37,25.2,68.6,0,0
5.3,2.6,1.9,0.2,13.78,0.38,14.16,2.789,9.5,2.62,20.4,55,6.0,6.35,59,73.3,69.2,0,0
4.6,3.7,1.4,0.5,17.02,0.7,17.72,3.286,2.8,2.38,30.4,73,7.6,6.28,75,69.4,67.9,0,0
7.3,2.3,4.7,2.4,16.79,11.28,28.07,1.553,1.958,7.89,20.6,65,5.2,5.73,72,218.4,93.0,1,2
5.8,2.8,5.4,1.5,16.24,8.1,24.34,1.074,3.6,8.77,22.9,74,7.7,7.13,75,204.1,92.9,1,2
5.2,2.4,4.8,1.7,12.48,8.16,20.64,1.083,2.824,5.99,20.6,89,4.8,6.28,68,51.7,84.5,2,2
5.0,3.4,1.8,0.6,17.0,1.08,18.08,2.778,3.0,3.06,20.4,55,6.9,5.78,50,213.7,74.1,0,0
6.9,2.7,3.4,1.3,18.63,4.42,23.05,2.029,2.615,6.33,25.9,86,7.0,6.87,56,183.3,77.9,2,1
4.4,2.4,1.7,0.2,10.56,0.34,10.9,2.588,8.5,1.8,21.8,79,5.7,7.06,66,190.8,74.9,0,0
6.4,3.1,5.1,2.0,19.84,10.2,30.04,1.255,2.55,10.12,31.9,79,8.9,5.58,76,121.5,85.9,2,2
5.1,3.2,4.6,1.2,16.32,5.52,21.84,1.109,3.833,7.51,32.0,73,5.6,7.22,35,121.0,88.9,1,1
4.6,3.8,1.6,0.5,17.48,0.8,18.28,2.875,3.2,2.8,26.5,72,5.0,5.78,43,207.1,76.5,2,0
6.0,2.6,5.8,1.8,15.6,10.44,26.04,1.034,3.222,9.05,27.9,63,7.4,7.4,62,246.7,93.7,1,2
4.5,3.9,1.4,0.1,17.55,0.14,17.69,3.214,14.0,2.46,21.9,86,4.8,7.23,45,53.6,67.4,0,0
5.4,3.7,1.4,0.4,19.98,0.56,20.54,3.857,3.5,2.8,21.8,71,6.3,5.65,80,222.4,64.6,0,0
7.1,3.3,6.6,1.9,23.43,12.54,35.97,1.076,3.474,15.46,24.8,82,4.0,7.05,76,41.4,100.0,1,2
6.9,2.8,4.7,2.0,19.32,9.4,28.72,1.468,2.35,9.08,21.0,72,8.9,6.49,50,210.5,86.2,2,2
5.3,3.6,6.4,2.4,19.08,15.36,34.44,0.828,2.667,12.21,28.7,47,4.6,7.07,59,23.7,100.0,1,2
5.0,2.3,1.9,0.2,11.5,0.38,11.88,2.632,9.5,2.18,27.6,53,9.3,6.1,85,234.5,67.1,0,0
6.0,2.3,6.1,2.1,13.8,12.81,26.61,0.984,2.905,8.42,18.7,85,5.8,6.9,44,118.7,89.1,1,2
4.3,3.3,1.1,0.2,14.19,0.22,14.41,3.909,5.5,1.56,27.5,45,4.0,6.19,37,247.3,69.2,0,0
5.0,2.8,1.1,0.5,14.0,0.55,14.55,4.545,2.2,1.54,19.4,68,9.3,5.77,79,207.1,77.1,2,0
7.9,2.4,5.8,1.4,18.96,8.12,27.08,1.362,4.143,11.0,27.1,73,6.1,5.93,77,54.8,84.8,2,2
6.2,2.5,6.7,1.6,15.5,10.72,26.22,0.925,4.188,10.39,19.7,69,6.1,6.36,80,52.2,87.9,2,2
4.7,3.6,1.6,0.2,16.92,0.32,17.24,2.938,8.0,2.71,31.2,46,9.1,6.82,49,67.3,72.4,0,0
5.4,2.9,1.0,0.5,15.66,0.5,16.16,5.4,2.0,1.57,31.4,76,6.3,5.98,70,156.6,71.5,0,0
5.8,4.3,1.1,0.5,24.94,0.55,25.49,5.273,2.2,2.74,26.0,68,7.3,5.85,60,239.5,75.4,2,0
5.2,2.3,1.2,0.6,11.96,0.72,12.68,4.333,2.0,1.44,31.3,70,7.0,6.76,62,196.4,70.2,0,0
5.1,2.8,4.3,1.2,14.28,5.16,19.44,1.186,3.583,6.14,22.3,77,9.5,7.45,39,143.4,78.6,2,1
7.2,3.2,6.0,1.7,23.04,10.2,33.24,1.2,3.529,13.82,24.1,60,4.3,5.67,57,46.7,92.2,1,2
4.8,3.9,1.7,0.2,18.72,0.34,19.06,2.824,8.5,3.18,27.9,89,4.1,6.49,52,140.3,75.2,2,0
5.7,2.8,6.3,2.4,15.96,15.12,31.08,0.905,2.625,10.05,28.3,52,8.6,5.56,81,118.7,100.0,1,2
6.4,2.8,3.2,1.4,17.92,4.48,22.4,2.0,2.286,5.73,23.0,76,9.2,5.83,40,78.7,72.6,0,1
6.9,2.4,6.3,1.4,16.56,8.82,25.38,1.095,4.5,10.43,30.0,45,5.5,6.44,54,231.7,82.5,2,2
5.1,4.2,1.7,0.3,21.42,0.51,21.93,3.0,5.667,3.64,22.5,71,9.5,6.14,82,37.9,69.0,0,0
6.9,2.3,5.0,2.0,15.87,10.0,25.87,1.38,2.5,7.93,18.6,70,4.4,6.43,48,197.9,87.0,2,2
5.1,2.3,1.2,0.4,11.73,0.48,12.21,4.25,3.0,1.41,22.3,84,5.5,6.24,61,249.5,75.4,2,0
7.6,3.4,5.1,1.4,25.84,7.14,32.98,1.49,3.643,13.18,23.7,59,7.2,6.77,74,221.8,91.5,1,2
5.4,3.1,1.7,0.3,16.74,0.51,17.25,3.176,5.667,2.85,20.9,60,6.5,7.42,39,183.7,64.5,0,0
5.6,3.4,1.6,0.3,19.04,0.48,19.52,3.5,5.333,3.05,31.6,50,7.5,6.51,70,208.6,64.2,0,0
5.1,3.3,4.8,1.7,16.83,8.16,24.99,1.062,2.824,8.08,29.9,70,8.2,6.97,50,124.1,82.1,2,2
4.5,3.9,1.1,0.2,17.55,0.22,17.77,4.091,5.5,1.93,24.3,65,6.4,6.57,79,67.8,67.4,0,0
6.7,2.1,4.7,1.2,14.07,5.64,19.71,1.426,3.917,6.61,27.9,83,4.2,7.17,50,54.1,84.7,2,1
5.7,2.1,3.6,1.7,11.97,6.12,18.09,1.583,2.118,4.31,20.4,70,9.1,6.61,65,77.5,81.6,2,1
4.5,2.4,1.7,0.2,10.8,0.34,11.14,2.647,8.5,1.84,20.8,70,6.2,6.76,71,39.3,72.1,0,0
4.3,2.4,1.8,0.3,10.32,0.54,10.86,2.389,6.0,1.86,19.8,66,4.7,7.38,33,58.6,72.3,0,0
6.1,2.2,6.1,1.6,13.42,9.76,23.18,1.0,3.812,8.19,21.0,56,5.6,6.39,39,28.0,91.4,1,2
5.3,3.3,1.8,0.3,17.49,0.54,18.03,2.944,6.0,3.15,19.2,69,4.8,5.9,81,140.9,73.2,0,0
7.3,3.8,6.4,1.8,27.74,11.52,39.26,1.141,3.556,17.75,25.6,76,6.1,6.63,50,109.3,87.9,2,2
6.2,2.0,4.7,1.2,12.4,5.64,18.04,1.319,3.917,5.83,29.3,75,7.2,7.03,44,244.0,74.9,0,1
5.6,3.1,6.4,2.2,17.36,14.08,31.44,0.875,2.909,11.11,28.7,59,7.5,7.47,54,101.6,100.0,1,2
4.6,3.5,1.7,0.4,16.1,0.68,16.78,2.706,4.25,2.74,30.8,46,8.2,6.2,66,149.6,72.4,0,0
5.6,4.0,1.9,0.4,22.4,0.76,23.16,2.947,4.75,4.26,20.5,47,4.5,5.97,44,24.6,71.2,0,0
6.8,2.3,3.3,1.6,15.64,5.28,20.92,2.061,2.062,5.16,30.9,65,4.4,5.8,75,231.0,84.9,2,1
7.5,3.7,5.4,2.4,27.75,12.96,40.71,1.389,2.25,14.99,23.5,51,6.0,6.15,40,188.4,94.9,1,2
7.8,3.2,4.9,2.5,24.96,12.25,37.21,1.592,1.96,12.23,27.7,84,8.7,5.95,67,207.3,92.6,1,2
7.0,2.4,6.2,2.4,16.8,14.88,31.68,1.129,2.583,10.42,31.3,70,9.1,7.04,66,27.4,100.0,1,2
5.6,3.1,6.7,1.6,17.36,10.72,28.08,0.836,4.188,11.63,28.4,60,6.1,6.14,70,223.6,84.9,2,2
6.9,3.4,5.3,1.4,23.46,7.42,30.88,1.302,3.786,12.43,20.9,89,4.4,6.01,36,185.7,77.6,2,2
6.4,3.4,4.9,1.4,21.76,6.86,28.62,1.306,3.5,10.66,23.3,79,6.3,7.16,80,218.7,86.1,2,1
5.6,2.9,6.4,1.4,16.24,8.96,25.2,0.875,4.571,10.39,18.3,61,9.7,5.65,40,224.2,82.5,2,2
5.1,4.2,1.1,0.4,21.42,0.44,21.86,4.636,2.75,2.36,26.6,75,8.2,6.36,71,57.9,77.1,2,0
4.4,3.0,1.9,0.3,13.2,0.57,13.77,2.316,6.333,2.51,25.8,79,5.6,6.06,45,42.1,69.4,0,0
7.4,2.4,5.4,1.9,17.76,10.26,28.02,1.37,2.842,9.59,22.1,87,7.8,6.46,36,25.9,85.3,2,2
7.0,2.7,3.2,1.6,18.9,5.12,24.02,2.188,2.0,6.05,24.6,87,5.6,6.78,54,62.5,86.4,2,1
5.3,2.1,3.9,1.2,11.13,4.68,15.81,1.359,3.25,4.34,29.7,81,4.4,7.0,72,42.2,82.1,2,1
6.1,3.4,5.0,1.5,20.74,7.5,28.24,1.22,3.333,10.37,23.4,78,6.5,6.57,85,235.4,86.2,2,2
5.0,2.5,1.8,0.5,12.5,0.9,13.4,2.778,3.6,2.25,25.0,78,8.8,6.86,69,53.9,79.0,2,0
5.3,3.4,5.0,1.6,18.02,8.0,26.02,1.06,3.125,9.01,19.8,72,4.5,6.87,42,249.4,88.0,2,1
5.7,3.7,6.7,1.5,21.09,10.05,31.14,0.851,4.467,14.13,23.4,70,7.3,7.21,63,125.4,96.1,1,2
6.8,3.0,5.5,1.9,20.4,10.45,30.85,1.236,2.895,11.22,20.1,82,7.5,7.43,36,232.7,91.9,1,2
5.5,4.1,1.8,0.5,22.55,0.9,23.45,3.056,3.6,4.06,21.7,86,6.9,6.72,32,59.6,70.2,0,0
6.7,3.3,4.6,2.4,22.11,11.04,33.15,1.457,1.917,10.17,22.6,60,4.3,6.45,47,226.3,84.4,2,2
5.6,3.2,4.8,1.5,17.92,7.2,25.12,1.167,3.2,8.6,31.6,59,4.8,7.45,58,198.0,81.5,2,1
6.2,3.2,5.0,1.6,19.84,8.0,27.84,1.24,3.125,9.92,29.5,76,8.6,7.23,82,32.9,90.7,1,2
4.8,3.4,1.1,0.5,16.32,0.55,16.87,4.364,2.2,1.8,30.3,46,5.0,7.25,42,212.5,67.1,0,0
5.0,2.5,3.4,1.3,12.5,4.42,16.92,1.471,2.615,4.25,24.5,70,7.8,5.75,31,75.6,78.7,2,1
5.3,3.2,4.2,1.3,16.96,5.46,22.42,1.262,3.231,7.12,20.3,61,8.5,6.88,48,26.3,73.7,0,1
7.2,2.5,5.0,1.6,18.0,8.0,26.0,1.44,3.125,9.0,20.9,86,6.5,5.54,79,242.4,88.9,1,2
6.8,2.9,4.3,1.0,19.72,4.3,24.02,1.581,4.3,8.48,21.5,64,8.3,6.92,47,117.5,76.6,2,1
5.9,2.3,3.6,1.4,13.57,5.04,18.61,1.639,2.571,4.89,26.7,82,4.6,6.52,72,242.3,85.5,2,1
6.8,3.2,5.2,1.5,21.76,7.8,29.56,1.308,3.467,11.32,18.9,62,7.8,7.22,46,170.9,92.8,1,2
5.8,2.4,6.3,2.4,13.92,15.12,29.04,0.921,2.625,8.77,29.3,83,6.4,6.14,38,185.9,100.0,1,2
5.4,2.6,3.8,1.0,14.04,3.8,17.84,1.421,3.8,5.34,27.9,81,8.9,6.19,75,71.1,78.2,2,1
6.8,2.9,4.1,1.7,19.72,6.97,26.69,1.659,2.412,8.09,29.8,80,5.1,5.7,38,190.4,87.5,2,1
7.2,2.5,6.1,1.8,18.0,10.98,28.98,1.18,3.389,10.98,19.3,67,5.3,7.24,56,201.3,89.3,1,2
6.1,2.6,3.2,1.0,15.86,3.2,19.06,1.906,3.2,5.08,26.9,82,9.7,5.64,42,135.1,82.3,2,1
6.0,2.6,4.8,1.1,15.6,5.28,20.88,1.25,4.364,7.49,31.9,66,6.5,6.64,59,52.9,86.4,2,1
5.5,3.3,1.6,0.2,18.15,0.32,18.47,3.438,8.0,2.9,26.9,45,6.7,5.92,79,58.8,74.9,0,0
6.5,3.1,3.3,1.3,20.15,4.29,24.44,1.97,2.538,6.65,24.0,72,9.8,6.27,32,142.8,82.3,2,1
5.6,3.9,1.5,0.1,21.84,0.15,21.99,3.733,15.0,3.28,18.1,60,5.4,7.25,49,49.7,68.4,0,0
5.8,2.3,4.6,2.4,13.34,11.04,24.38,1.261,1.917,6.14,24.4,78,7.6,6.18,73,249.0,89.6,1,2
5.7,2.3,5.0,1.7,13.11,8.5,21.61,1.14,2.941,6.55,23.6,59,5.3,7.47,43,188.8,88.4,1,1
4.5,3.8,1.7,0.3,17.1,0.51,17.61,2.647,5.667,2.91,27.0,79,7.7,6.69,33,172.3,73.5,0,0
4.4,2.5,1.4,0.2,11.0,0.28,11.28,3.143,7.0,1.54,21.5,89,4.9,6.89,70,22.1,69.3,0,0
5.3,2.9,1.5,0.2,15.37,0.3,15.67,3.533,7.5,2.31,29.6,51,7.1,6.74,48,46.2,64.3,0,0
5.2,3.9,1.7,0.6,20.28,1.02,21.3,3.059,2.833,3.45,23.0,71,5.8,5.58,61,229.4,75.1,2,0
5.6,2.0,4.4,1.7,11.2,7.48,18.68,1.273,2.588,4.93,29.7,87,7.0,7.4,79,137.7,88.5,1,1
5.7,3.7,1.4,0.6,21.09,0.84,21.93,4.071,2.333,2.95,21.7,48,4.6,5.85,32,216.0,69.4,0,0
5.8,3.4,4.7,2.2,19.72,10.34,30.06,1.234,2.136,9.27,18.6,53,8.0,5.84,52,225.7,98.0,1,2
6.7,2.1,4.7,1.1,14.07,5.17,19.24,1.426,4.273,6.61,23.6,74,5.6,6.27,84,130.0,79.1,2,1
4.5,3.8,1.1,0.6,17.1,0.66,17.76,4.091,1.833,1.88,20.2,71,9.5,6.47,66,176.0,66.2,0,0
6.5,2.9,4.8,1.7,18.85,8.16,27.01,1.354,2.824,9.05,28.2,53,6.9,6.48,56,121.4,79.3,2,1
5.8,3.3,6.1,2.2,19.14,13.42,32.56,0.951,2.773,11.68,26.1,81,5.3,7.41,85,97.8,97.2,1,2
6.8,2.9,6.2,1.9,19.72,11.78,31.5,1.097,3.263,12.23,27.3,86,6.3,7.18,65,225.2,95.4,1,2
5.3,2.6,1.8,0.5,13.78,0.9,14.68,2.944,3.6,2.48,30.2,49,8.5,6.14,51,243.1,64.6,0,0
5.1,3.1,1.7,0.1,15.81,0.17,15.98,3.0,17.0,2.69,24.2,81,6.7,7.21,58,92.7,78.0,2,0
6.9,2.4,5.5,2.0,16.56,11.0,27.56,1.255,2.75,9.11,18.0,50,8.8,7.43,70,90.1,92.1,1,2
5.3,3.3,1.3,0.5,17.49,0.65,18.14,4.077,2.6,2.27,29.4,74,6.0,7.03,68,128.8,73.8,0,0
6.3,2.4,6.1,1.4,15.12,8.54,23.66,1.033,4.357,9.22,23.0,85,9.8,6.08,63,106.0,80.8,2,2
5.0,4.0,1.7,0.3,20.0,0.51,20.51,2.941,5.667,3.4,21.6,57,5.1,7.36,55,69.6,76.2,2,0
5.4,2.5,1.4,0.6,13.5,0.84,14.34,3.857,2.333,1.89,29.7,82,4.7,7.28,59,171.4,79.0,2,0
5.7,2.3,1.7,0.4,13.11,0.68,13.79,3.353,4.25,2.23,24.1,82,6.9,6.52,41,179.1,66.1,0,0
4.5,3.7,1.5,0.3,16.65,0.45,17.1,3.0,5.0,2.5,30.3,71,9.9,7.33,78,77.1,69.3,0,0
6.9,2.6,3.3,1.3,17.94,4.29,22.23,2.091,2.538,5.92,27.8,77,5.8,6.9,85,92.2,82.4,2,1
6.8,2.5,6.0,1.7,17.0,10.2,27.2,1.133,3.529,10.2,22.8,88,4.8,6.92,41,135.9,93.5,1,2
6.4,3.1,4.2,1.5,19.84,6.3,26.14,1.524,2.8,8.33,31.2,90,6.5,7.0,83,142.8,88.6,1,1
6.6,2.7,3.1,1.1,17.82,3.41,21.23,2.129,2.818,5.52,27.4,57,5.6,7.07,48,177.2,71.2,0,1
5.3,2.9,1.7,0.1,15.37,0.17,15.54,3.118,17.0,2.61,29.4,51,7.7,6.85,65,218.9,74.2,0,0
6.1,3.0,6.4,2.2,18.3,14.08,32.38,0.953,2.909,11.71,27.7,48,9.6,6.28,80,244.4,95.2,1,2
5.1,3.4,5.0,2.4,17.34,12.0,29.34,1.02,2.083,8.67,30.0,73,9.0,7.32,75,183.2,91.9,1,2
6.5,3.2,6.4,2.5,20.8,16.0,36.8,1.016,2.56,13.31,22.1,56,9.9,5.65,41,189.1,95.9,1,2
4.9,3.5,1.1,0.4,17.15,0.44,17.59,4.455,2.75,1.89,21.6,66,6.8,7.37,32,55.4,68.0,0,0
5.5,3.6,1.8,0.3,19.8,0.54,20.34,3.056,6.0,3.56,29.1,80,6.1,7.07,50,140.8,78.4,2,0
5.1,3.0,5.5,2.0,15.3,11.0,26.3,0.927,2.75,8.41,19.3,59,9.3,6.83,51,103.0,87.5,2,2
6.5,3.8,6.5,2.5,24.7,16.25,40.95,1.0,2.6,16.05,18.1,87,6.1,5.98,71,161.2,100.0,1,2
5.3,3.0,1.8,0.6,15.9,1.08,16.98,2.944,3.0,2.86,23.4,79,8.3,5.55,63,209.1,70.2,0,0
6.2,2.3,6.7,1.6,14.26,10.72,24.98,0.925,4.188,9.55,25.2,51,5.0,7.41,64,142.6,93.5,1,2
5.3,3.9,1.8,0.3,20.67,0.54,21.21,2.944,6.0,3.72,19.5,79,9.0,7.26,77,198.3,73.4,0,0
5.4,2.6,1.4,0.3,14.04,0.42,14.46,3.857,4.667,1.97,19.2,48,5.1,6.0,34,152.2,66.5,0,0
5.8,2.6,3.8,1.3,15.08,4.94,20.02,1.526,2.923,5.73,23.5,52,7.2,6.78,69,34.5,83.8,2,1
5.4,2.5,1.8,0.2,13.5,0.36,13.86,3.0,9.0,2.43,29.0,64,7.6,6.06,58,107.7,75.9,2,0
5.0,3.4,1.1,0.3,17.0,0.33,17.33,4.545,3.667,1.87,29.2,79,5.8,6.77,49,175.8,77.3,2,0
6.8,3.7,4.5,2.4,25.16,10.8,35.96,1.511,1.875,11.32,20.0,47,4.0,6.69,64,145.9,85.0,2,2
5.4,4.2,1.3,0.3,22.68,0.39,23.07,4.154,4.333,2.95,27.0,77,4.9,5.87,69,212.0,65.9,0,0
5.3,3.5,1.0,0.5,18.55,0.5,19.05,5.3,2.0,1.85,31.9,80,6.8,6.6,48,174.5,67.0,0,0
5.4,3.3,1.3,0.2,17.82,0.26,18.08,4.154,6.5,2.32,27.2,51,5.7,5.64,42,93.1,69.7,0,0
6.9,3.3,4.9,2.0,22.77,9.8,32.57,1.408,2.45,11.16,29.3,72,5.0,6.13,80,71.0,93.4,1,2
5.5,2.5,4.4,1.3,13.75,5.72,19.47,1.25,3.385,6.05,24.7,73,6.2,6.11,65,45.0,83.8,2,1
5.6,4.1,1.1,0.4,22.96,0.44,23.4,5.091,2.75,2.53,21.7,85,4.5,5.65,31,215.4,73.0,0,0
6.6,3.4,5.0,1.4,22.44,7.0,29.44,1.32,3.571,11.22,21.6,79,6.8,7.05,53,110.3,90.3,1,2
7.1,2.7,5.6,2.0,19.17,11.2,30.37,1.268,2.8,10.74,23.6,77,4.1,5.98,81,245.8,95.3,1,2
5.3,2.5,5.9,2.0,13.25,11.8,25.05,0.898,2.95,7.82,30.2,54,8.4,6.47,52,29.3,97.8,1,2
4.4,3.1,1.0,0.2,13.64,0.2,13.84,4.4,5.0,1.36,30.7,68,6.3,7.34,32,29.2,72.8,0,0
5.4,3.4,1.7,0.5,18.36,0.85,19.21,3.176,3.4,3.12,21.7,79,7.4,6.25,54,104.0,74.2,0,0
5.1,3.1,1.8,0.4,15.81,0.72,16.53,2.833,4.5,2.85,22.9,67,6.9,6.46,68,21.5,77.6,2,0
5.2,2.1,4.4,1.2,10.92,5.28,16.2,1.182,3.667,4.8,20.6,68,7.6,7.13,72,73.0,85.5,2,1
5.2,3.3,5.6,2.0,17.16,11.2,28.36,0.929,2.8,9.61,27.1,71,4.1,5.59,66,156.2,86.6,2,2
5.0,3.1,4.6,1.7,15.5,7.82,23.32,1.087,2.706,7.13,20.5,70,7.6,6.63,31,222.1,89.3,1,2
6.9,2.3,4.3,1.4,15.87,6.02,21.89,1.605,3.071,6.82,24.7,59,9.0,6.7,80,154.0,86.3,2,1
6.9,2.6,6.2,1.8,17.94,11.16,29.1,1.113,3.444,11.12,24.3,82,4.4,6.26,38,45.0,87.6,2,2
7.0,3.5,6.0,1.6,24.5,9.6,34.1,1.167,3.75,14.7,30.6,83,4.2,7.07,62,193.0,82.7,2,2
5.3,3.2,6.5,2.4,16.96,15.6,32.56,0.815,2.708,11.02,28.8,86,6.6,6.34,85,30.0,100.0,1,2
5.7,3.3,1.7,0.3,18.81,0.51,19.32,3.353,5.667,3.2,29.3,89,7.5,6.35,46,129.7,66.7,0,0
4.7,4.1,1.4,0.2,19.27,0.28,19.55,3.357,7.0,2.7,27.9,45,7.5,5.74,30,106.3,65.8,0,0
5.8,2.1,3.9,1.5,12.18,5.85,18.03,1.487,2.6,4.75,21.7,79,6.5,6.23,47,248.1,80.1,2,1
4.9,3.9,1.4,0.3,19.11,0.42,19.53,3.5,4.667,2.68,25.8,61,9.9,6.66,79,182.3,74.6,0,0
5.3,2.6,6.4,2.4,13.78,15.36,29.14,0.828,2.667,8.82,19.4,77,6.4,6.18,65,161.2,100.0,1,2
4.5,4.3,1.0,0.1,19.35,0.1,19.45,4.5,10.0,1.93,20.0,83,6.6,5.63,44,105.3,71.9,0,0
6.1,3.8,6.0,2.0,23.18,12.0,35.18,1.017,3.0,13.91,28.0,83,4.3,7.05,41,167.3,93.0,1,2
5.6,4.3,1.5,0.2,24.08,0.3,24.38,3.733,7.5,3.61,29.0,77,7.1,5.96,40,175.0,68.4,0,0
4.9,2.5,6.9,2.3,12.25,15.87,28.12,0.71,3.0,8.45,22.9,70,6.4,5.9,30,189.5,94.8,1,2
5.1,3.8,1.5,0.4,19.38,0.6,19.98,3.4,3.75,2.91,22.9,62,5.4,7.43,59,233.8,72.4,0,0
5.3,2.7,4.2,1.4,14.31,5.88,20.19,1.262,3.0,6.01,22.8,52,8.8,7.41,64,207.0,83.0,2,1
6.2,2.8,5.7,1.7,17.36,9.69,27.05,1.088,3.353,9.9,22.8,74,8.1,7.29,85,26.3,83.2,2,2
4.9,4.0,1.2,0.5,19.6,0.6,20.2,4.083,2.4,2.35,29.2,71,9.7,6.53,30,181.2,67.4,0,0
5.1,2.9,4.7,1.1,14.79,5.17,19.96,1.085,4.273,6.95,31.0,75,5.9,5.94,66,81.9,87.5,2,1
7.7,2.5,6.3,1.7,19.25,10.71,29.96,1.222,3.706,12.13,21.4,61,5.2,5.91,45,212.4,89.1,1,2
4.5,2.5,1.9,0.3,11.25,0.57,11.82,2.368,6.333,2.14,18.1,79,9.7,7.2,53,162.8,71.0,0,0
7.5,3.0,6.9,2.4,22.5,16.56,39.06,1.087,2.875,15.53,21.9,59,8.5,5.76,63,203.8,100.0,1,2
5.0,2.8,6.6,2.3,14.0,15.18,29.18,0.758,2.87,9.24,24.4,52,8.2,6.42,74,21.9,100.0,1,2
6.1,2.5,4.3,1.2,15.25,5.16,20.41,1.419,3.583,6.56,25.7,60,5.6,7.42,51,104.2,80.3,2,1
4.9,3.9,1.3,0.3,19.11,0.39,19.5,3.769,4.333,2.48,24.3,81,4.8,6.65,44,207.3,74.3,0,0
5.1,4.1,1.2,0.5,20.91,0.6,21.51,4.25,2.4,2.51,28.3,75,8.8,5.85,61,50.9,77.5,2,0
6.5,3.4,6.4,1.7,22.1,10.88,32.98,1.016,3.765,14.14,25.9,81,4.3,5.7,40,33.8,96.8,1,2
6.7,2.1,4.6,1.2,14.07,5.52,19.59,1.457,3.833,6.47,23.0,80,9.6,6.02,31,114.7,78.7,2,1
7.8,2.5,5.9,2.1,19.5,12.39,31.89,1.322,2.81,11.51,20.4,63,6.1,6.85,61,198.2,93.9,1,2
4.9,2.9,1.6,0.2,14.21,0.32,14.53,3.062,8.0,2.27,20.3,66,6.5,6.72,55,215.2,63.8,0,0
4.8,3.0,1.6,0.5,14.4,0.8,15.2,3.0,3.2,2.3,26.5,70,5.6,6.39,85,235.9,75.6,2,0
7.8,2.9,4.9,1.4,22.62,6.86,29.48,1.592,3.5,11.08,28.2,87,5.5,6.99,77,38.4,78.4,2,2
4.4,4.3,1.4,0.1,18.92,0.14,19.06,3.143,14.0,2.65,28.8,78,8.6,5.67,46,162.2,63.6,0,0
5.5,2.3,3.6,1.5,12.65,5.4,18.05,1.528,2.4,4.55,19.8,55,4.2,6.83,85,230.5,86.6,2,1
6.9,2.8,3.6,1.4,19.32,5.04,24.36,1.917,2.571,6.96,31.6,89,7.2,6.68,59,165.1,82.3,2,1
6.2,3.2,5.8,2.4,19.84,13.92,33.76,1.069,2.417,11.51,24.7,59,8.8,6.38,53,114.8,92.3,1,2
4.3,4.0,1.8,0.3,17.2,0.54,17.74,2.389,6.0,3.1,24.6,45,8.1,6.48,78,129.7,63.2,0,0
6.6,2.8,4.7,1.4,18.48,6.58,25.06,1.404,3.357,8.69,20.6,80,6.6,6.0,75,189.5,81.4,2,1
5.4,2.1,4.3,1.4,11.34,6.02,17.36,1.256,3.071,4.88,29.2,84,8.8,6.87,48,169.1,82.6,2,1
5.8,3.2,3.4,1.2,18.56,4.08,22.64,1.706,2.833,6.31,26.9,84,6.7,6.9,61,63.2,70.5,0,1
